epoch,iter,val_loss,eval/acc
0,0,3.254561424255371,0.0
0,269,0.9385886192321777,33.33
0,538,0.8035946488380432,58.33
0,807,0.8029028177261353,45.83
0,1076,0.7917325496673584,45.83
0,1345,0.6983627676963806,50.0
0,1614,0.7734615206718445,45.83
0,1883,0.7268362641334534,50.0
0,2152,0.8294782042503357,50.0
0,2421,0.7506364583969116,50.0
0,2690,0.7824186682701111,54.17
1,2694,0.7851471900939941,54.17
1,2963,0.8823772668838501,45.83
1,3232,0.689980149269104,54.17
1,3501,0.7224417924880981,50.0
1,3770,0.726385772228241,50.0
1,4039,0.699775755405426,50.0
1,4308,0.8137847781181335,45.83
1,4577,0.8774356842041016,50.0
1,4846,0.7627637386322021,50.0
1,5115,0.8063386082649231,50.0
1,5384,0.90045166015625,50.0
2,5388,0.9051567316055298,50.0
2,5657,0.9858744144439697,45.83
2,5926,0.9504736065864563,45.83
2,6195,0.8872637748718262,45.83
2,6464,0.8789154291152954,41.67
2,6733,0.8032669425010681,50.0
2,7002,1.0188101530075073,50.0
2,7271,0.961013674736023,45.83
2,7540,0.9136486053466797,54.17
2,7809,0.9138965606689453,50.0
2,8078,0.9732118844985962,45.83
3,8082,0.9719521999359131,41.67
3,8351,1.0964010953903198,45.83
3,8620,1.053837776184082,45.83
3,8889,0.9495460987091064,41.67
3,9158,1.021591305732727,33.33
3,9427,1.0140076875686646,45.83
3,9696,1.0234293937683105,45.83
3,9965,1.0198569297790527,45.83
3,10234,1.0102206468582153,50.0
3,10503,1.0104113817214966,50.0
3,10772,1.0190563201904297,50.0
