epoch,iter,val_loss,eval/acc
0,0,2.783644676208496,0.0
0,269,0.9550049304962158,25.0
0,538,0.7646471261978149,45.83
0,807,0.6954797506332397,45.83
0,1076,0.6344022750854492,50.0
0,1345,0.7076008915901184,45.83
0,1614,0.6880751848220825,37.5
0,1883,0.6365528702735901,50.0
0,2152,0.6760129928588867,54.17
0,2421,0.6656172871589661,50.0
0,2690,0.7148266434669495,50.0
1,2694,0.7212862968444824,45.83
1,2963,0.7040780782699585,41.67
1,3232,0.7039572596549988,54.17
1,3501,0.6524542570114136,54.17
1,3770,0.6543204188346863,54.17
1,4039,0.7671129703521729,41.67
1,4308,0.7178695201873779,50.0
1,4577,0.709151566028595,54.17
1,4846,0.7366577982902527,45.83
1,5115,0.7383019328117371,45.83
1,5384,0.8075149059295654,37.5
2,5388,0.8273037075996399,41.67
2,5657,0.7758632898330688,41.67
2,5926,0.8096936345100403,50.0
2,6195,0.7378727197647095,54.17
2,6464,0.767433226108551,41.67
2,6733,0.890038788318634,33.33
2,7002,0.9360360503196716,50.0
2,7271,0.7987437844276428,50.0
2,7540,0.8766450881958008,41.67
2,7809,0.9069012999534607,37.5
2,8078,0.8765465021133423,37.5
3,8082,0.8650502562522888,37.5
3,8351,0.9063940644264221,33.33
3,8620,0.8864251971244812,45.83
3,8889,0.8793289661407471,50.0
3,9158,0.8844623565673828,45.83
3,9427,0.9325839877128601,37.5
3,9696,0.9749352335929871,41.67
3,9965,0.9006038308143616,50.0
3,10234,0.9138291478157043,50.0
3,10503,0.9026503562927246,37.5
3,10772,0.9223483800888062,37.5
