epoch,iter,val_loss,eval/acc
0,0,2.652892589569092,0.0
0,269,0.7891161441802979,20.83
0,538,0.781158447265625,25.0
0,807,0.6567363739013672,25.0
0,1076,0.6529241800308228,29.17
0,1345,0.5626326203346252,41.67
0,1614,0.5760177373886108,37.5
0,1883,0.5090700387954712,45.83
0,2152,0.5385822057723999,33.33
0,2421,0.5683797597885132,37.5
0,2690,0.581354022026062,41.67
1,2694,0.5813334584236145,41.67
1,2963,0.5618544220924377,37.5
1,3232,0.6112459897994995,37.5
1,3501,0.597439706325531,41.67
1,3770,0.6127557158470154,33.33
1,4039,0.5596057772636414,41.67
1,4308,0.5835723876953125,33.33
1,4577,0.5264767408370972,45.83
1,4846,0.56279456615448,33.33
1,5115,0.56675124168396,37.5
1,5384,0.6063832640647888,37.5
2,5388,0.6012667417526245,37.5
2,5657,0.6738945841789246,41.67
2,5926,0.6397215127944946,37.5
2,6195,0.7411049008369446,37.5
2,6464,0.7464648485183716,29.17
2,6733,0.68338543176651,41.67
2,7002,0.6407344937324524,37.5
2,7271,0.633446216583252,45.83
2,7540,0.6135295033454895,33.33
2,7809,0.6327409148216248,33.33
2,8078,0.6732287406921387,33.33
3,8082,0.6731575131416321,37.5
3,8351,0.7364989519119263,41.67
3,8620,0.7140664458274841,37.5
3,8889,0.7577946782112122,33.33
3,9158,0.7752507328987122,29.17
3,9427,0.670917272567749,37.5
3,9696,0.6589968204498291,41.67
3,9965,0.6637454032897949,54.17
3,10234,0.6521594524383545,45.83
3,10503,0.6565341949462891,41.67
3,10772,0.6643852591514587,41.67
