epoch,iter,val_loss,eval/acc
0,0,3.042789936065674,0.0
0,269,0.8736424446105957,33.33
0,538,0.8471333980560303,37.5
0,807,0.7605827450752258,41.67
0,1076,0.7868867516517639,37.5
0,1345,0.746723473072052,45.83
0,1614,0.6854848265647888,45.83
0,1883,0.6388029456138611,45.83
0,2152,0.6077197790145874,45.83
0,2421,0.6695282459259033,37.5
0,2690,0.6527911424636841,41.67
1,2694,0.6506456732749939,37.5
1,2963,0.6648210883140564,45.83
1,3232,0.7336896061897278,33.33
1,3501,0.7142139673233032,41.67
1,3770,0.7511773109436035,41.67
1,4039,0.7296554446220398,50.0
1,4308,0.6828304529190063,54.17
1,4577,0.7274938821792603,45.83
1,4846,0.7025471329689026,54.17
1,5115,0.7508865594863892,37.5
1,5384,0.7616293430328369,41.67
2,5388,0.7565175890922546,41.67
2,5657,0.7395851612091064,41.67
2,5926,0.8019505143165588,37.5
2,6195,0.7515138387680054,41.67
2,6464,0.8785117864608765,41.67
2,6733,0.8266186118125916,50.0
2,7002,0.821494460105896,58.33
2,7271,0.8678280115127563,41.67
2,7540,0.7566367983818054,50.0
2,7809,0.8687102198600769,37.5
2,8078,0.8514678478240967,37.5
3,8082,0.8583958745002747,37.5
3,8351,0.8150836825370789,45.83
3,8620,0.8658514022827148,41.67
3,8889,0.8394500613212585,45.83
3,9158,0.8759424686431885,45.83
3,9427,0.8563289046287537,45.83
3,9696,0.8643574714660645,50.0
3,9965,0.8905819654464722,41.67
3,10234,0.8801015615463257,45.83
3,10503,0.9129503965377808,41.67
3,10772,0.9086048007011414,41.67
